player_stats_id,player_id,game_id,PaComp,PaAtt,PaYd,PaTD,PaINT,RuAtt,RuYd,RuTD,Target,Rec,ReYd,ReTD
503,180,2024091503,,,,,,0,0,0,7,3,21,0
504,148,2024091511,,,,,,0,0,0,3,2,20,0
505,170,2024091508,,,,,,0,0,0,3,2,20,0
506,203,2024091508,,,,,,0,0,0,2,2,19,0
507,335,2024091504,,,,,,0,0,0,1,1,19,0
508,336,2024091507,,,,,,0,0,0,4,2,17,0
509,337,2024091505,,,,,,0,0,0,2,1,17,0
510,138,2024091501,,,,,,1,-3,0,2,2,19,0
511,338,2024091505,,,,,,0,0,0,2,2,16,0
512,339,2024091506,,,,,,0,0,0,2,2,15,0
513,191,2024091508,,,,,,0,0,0,6,3,15,0
514,149,2024091506,,,,,,0,0,0,2,2,15,0
515,232,2024091512,,,,,,0,0,0,3,2,14,0
516,205,2024091507,,,,,,0,0,0,3,3,14,0
517,218,2024091510,,,,,,0,0,0,3,1,13,0
518,160,2024091514,,,,,,3,16,0,4,1,-3,0
519,340,2024091201,,,,,,0,0,0,3,1,13,0
520,135,2024091503,,,,,,0,0,0,2,1,13,0
521,189,2024091510,,,,,,0,0,0,2,2,13,0
522,341,2024091502,,,,,,0,0,0,3,2,12,0
523,200,2024091509,,,,,,0,0,0,8,3,11,0
524,165,2024091511,,,,,,0,0,0,2,2,11,0
525,121,2024091504,,,,,,0,0,0,4,2,11,0
526,197,2024091501,,,,,,0,0,0,3,1,10,0
527,241,2024091512,,,,,,0,0,0,2,1,10,0
